,precision,recall,f1-score,support
CRITICAL,0.31829787234042556,0.827433628318584,0.45974185617701285,452.0
HIGH,0.375,0.7635379061371841,0.5029726516052319,554.0
LOW,0.8388701367916148,0.8110614908965991,0.8247314645009169,5822.0
MEDIUM,0.7797190818773553,0.5657469550087,0.6557188130221839,4023.0
accuracy,0.7183669707861027,0.7183669707861027,0.7183669707861027,0.7183669707861027
macro avg,0.5779717727523489,0.7419449950902668,0.6107911963263364,10851.0
weighted avg,0.7715724302913329,0.7183669707861027,0.7304389954007827,10851.0
